domain,step
Interior Design,Overseeing installations
Clock Making (Mechanical),Construct frame and attach gear train
Creating Custom Glass Terrariums for Succulents,Fill with soil and plants
Making Hand-Tied Bouquets with Dried Flowers,Wrap stems in hessian
Crafting Personalized Kitchen Aprons with Screen Printing,Add pockets and ties
Gemstone Cutting,Storing gemstone inventory
Travel Planning,Packing luggage
Traditional Weathervane Crafting,Finish with protective coating
Manual tuning of musical instruments,Adjust tension of strings or other components
Sewing,Adding embellishments
Cake Decorating,Adding embellishments
Costume Making,Adding embellishments
Sewing,Adding embellishments
Sewing,Adding embellishments
Knitting,Adding embellishments
Scrapbooking,Adding embellishments
Producing Traditional Vinegars,"Select base (fruit, wine)"
Artisan Bread Scoring,Cool and inspect for bloom and crust quality
Legal Documentation,Interpreting statutes
Hand stamping fabric patterns,Prepare fabric
Hand-stenciling of fabric,Prepare fabric
Building a Deck,Add railings
Custom Surf Fin Crafting,Cut and shape fin
Crafting Bespoke Outdoor Mosaic Tables with Ceramic Tiles,Arrange and glue on tabletop
Hand writing thank you notes,Personalize message
Vertical Farming, Harvest crops
Hand cleaning of jewelry,Prepare cleaning solution
Manual scrubbing of floors,Prepare cleaning solution
Inventory Management,Implementing barcode scanning
Inventory Replenishment,Implementing barcode scanning
Inventory Management in Retail,Implementing barcode scanning
Martial Arts,Practice forms 
Legal Contract Management,Reviewing intellectual property indemnification clauses
Artisanal Bread Shaping,Mix dough ingredients
Crafting Leather Masks,Dye and finish
Creating Custom Leather Belts,Dye and finish
Crafting Personalized Leather Key Holders,Dye and finish
Beading,Using crimp beads or knots to secure beads
Business Expense Management,Collecting expense receipts
Artisanal Mead Making,Cool to yeast pitching temperature
Neon Sign Making, Attach electrodes
Pottery Glazing,Inspecting glazed pottery for even coverage
Egg Decorating (Pysanky),Removing wax by melting over candle flame
Ice Carving,Refine with detail tools
Bookbinding,Teaching bookbinding classes
Perfume Bottle Design,Packaging bottles
Bank Teller Transactions,Processing withdrawals
Basket Weaving,Finish rim for strength
Neon Sign Making,Wire for illumination
Hand rolling cigarettes,Seal with saliva
Electrical Work (Advanced),Install new circuits
Leather Journal Making,"Adding decorative elements (e.g., bookmarks, charms)"
Hand-laminating documents,Prepare laminating pouch
Fermentation,Covering ingredients with brine
Digital Marketing Campaign Management,Building audience lists
Retail Sales,Tagging items
Inventory Management,Labeling items
Building a Deck,Set posts
Hand-sewn Clothing,Iron fabric
Painting (watercolors - advanced), Create washes and blend colors seamlessly 
Carpentry,Installing hardware
Business Expense Management,Implementing mileage reimbursement programs
Circuit Board Design,Design PCB layout
Supply Chain Management,Quality checking incoming materials
Hand-painted Tableware,Fire in a kiln to set paint
Making Damascus Steel,Layer iron and steel
Building Outdoor Wood-Fired Pizza Ovens,Finish with stucco or tiles
Ferrofluid Sculpting,Creating magnetic sculpture base
Legal Document Review,Reviewing email threads
Paper Making,Storing paper making materials
Cookie Decorating,Packaging decorated cookies for sale or gifting
Sculpting,Networking with other artists
Soapstone Carving,Networking with other artists
Soap Carving,Networking with other artists
Charcoal Drawing,Networking with other artists
Crafting Custom Engraved Wooden Spoons,Select spoons
House Cleaning,Vacuuming carpets
Hotel Housekeeping,Vacuuming carpets
Janitorial Services,Vacuuming carpets
Vehicle Maintenance,Vacuuming carpets
Custom Skate Decks,Add clear coat for protection
Childcare,Sanitizing toys
Hand-blown Glass Ornaments,Cool slowly in annealer
Home Repair,Painting or finishing
Sourdough Starter Cultivation,Monitoring starter activity and fermentation bubbles
Foraging,Identify edible plants & mushrooms
E-commerce Order Fulfillment,Managing customer feedback
Forged Metal Sculpture,Apply patinas or finishes
Coffee Roasting,Grind
Building Handcrafted Leather Tool Rolls,Add ties or buckles for closure
Hand-crafting of wooden cutting boards,Apply food-safe finish such as mineral oil or beeswax
Gardening,Rotating crops
Farm Harvesting,Rotating crops
Customer Support Ticket Resolution,Escalating complex issues to specialized teams
Hand-braiding of garlic or onion strings,Braid bulbs together using desired braiding technique
Candlestick Making,Joining components securely with glue or fasteners
Musical Instrument Repair,Adjust action & intonation
Financial Planning,Planning for education expenses
Metal Jewelry Soldering,Applying solder to joints or seams
Marbling,Manipulating paints with combs or brushes
Producing Handmade Sausages,Mix with spices
Traditional Sashiko Embroidery,Thread needle with sashiko thread
Makeup Application,"Add eyeshadow, blush, lipstick, etc"
Crafting Custom Dog Bandanas,Cut fabric into triangle
Bank Teller Transactions,Answering account inquiries
Laundry Services,Managing customer accounts
Manual assembly of wedding bouquets,Trim stems to desired length and wrap in decorative ribbon
Content Localization,Expanding international presence
Warehouse Operations,Managing warehouse cleanliness
Clock Making (Mechanical),Cut and shape gears
Handcrafted Paper Flowers,Inspect for lifelike appearance and durability
Legal Document Review,Reviewing load files
Basket Weaving,Weave base
Pie Making,Crimp edges & bake
Crafting Bamboo Flutes,Select bamboo
Making Bespoke Woven Wall Tapestries,Finish and hang
Vintage Car Restoration,Remove rust and repair body
Winemaking, Rack wine (remove sediment) 
Fitness Training,Incorporating Pilates movements
Medical Billing and Coding,Generating financial reports
Forging Artisanal Door Handles,Design handle
Legal Case Management,Reviewing documents
Building a Handmade Pallet Wine Rack,Dismantle pallet
Making Bespoke Leather Valet Trays with Snap Corners,Decor
Rock Climbing,Clean anchors
Yoga, Flow through poses 
Candle Making (Soy Wax),Storing candle-making supplies
Tatting (Lace Making),Tie loop and make series of knots and loops
Making Damascus Steel,Repeat for pattern
Terrarium Making,Trimming or pruning plants as necessary
Coffee Roasting, Use a home coffee roaster to achieve desired roast level
Terrarium Building,Plant miniature plants and moss
Canning and Preserving,Storing canned goods
Embroidery Digitizing,Initiating embroidery process and monitoring machine operation
Playing a Video Game, Progress through levels 
Upholstery,Installing new springs or webbing
Knitting,Weaving in ends
Crochet,Weaving in ends
Sock Knitting,Weaving in ends
Customer Support Ticket Resolution,Recording customer interactions
Childcare,Putting children down for naps
Tea Blending,Packaging tea blend in airtight containers
Herbal Tea Blending,Packaging tea blend in airtight containers
Creating Artisan Goat Milk Soaps,Add essential oils and colors
Upholstery,Measuring and cutting fabric
Ice Carving,Light from within or behind
Landscaping Design,Providing maintenance tips
Crafting Artisanal Body Butters,Cool slightly
Creating Artisan Gel Air Fresheners with Essential Oils,Cool slightly
Pie Making,Roll out crust
Hand-painting of Easter eggs,Prepare hard-boiled eggs and sketch design
Custom Light Fixture Design,Test for safety and functionality
Handcrafted Beer Brewing,Sparge mash to extract wort
Weightlifting,Follow progressive training program
Traditional Tailoring,Attach buttons and make buttonholes
Batik Fabric Dyeing,Washing fabric to remove excess dye
Wine Making,Cleaning wine-making equipment
Kombucha Brewing,Sealing bottles
Inventory Management,Managing serialized items
Inventory Replenishment,Managing serialized items
Creating Custom Knit Hats with Cable Patterns,Decrease for crown
Mosaic Art,Cut tiles/glass
Locksmithing,Key programming
Food Preservation (Freezing), Freeze
Basic Carpentry Project, Cut wood pieces to size using a saw 
Legal Contract Management,Obtaining signatures on contracts
Custom Snowboard Design,Select core material and cut to shape
Wilderness First Aid,Stabilize patient
Handmade Paper Making,Inspect for thickness and texture
Engraving (Hand-pushed),Use burins to carve intricate designs into metal plates for printmaking
Stamp Collecting,Selecting stamp album or stockbook
Clinical Trials Management,Disposing of study waste
Traditional Tanning (Leather),Soak hides to clean
Herbal Tea Blending,"Storing tea blends in cool, dark place to preserve freshness"
Hand-rolling of croissants,Prepare croissant dough
Manual washing dishes,Dry with towel
Tie-Dyeing Fabric,Choosing dye colors and mixing dyes according to instructions
Traditional Leather Armor Crafting,Tool and mold leather for shape
Financial Planning,Developing personalized financial plans
Creating Hand-Crafted Pottery Vases,Carve or add textures
Sock Knitting,"Adding reinforcement (e.g., reinforcing thread on heel and toe)"
Janitorial Services,Cleaning staircases
Charcoal Making (Traditional),Open kiln and extract charcoal
Soap Making (Cold Process),Allowing bars to cure further in well-ventilated area
Crafting Artisanal Leather-bound Notebooks with Marbled Paper,Prepare leather for cover
Hair Styling,Wash & condition hair
Artisanal Bread Sculpting,Divide and shape dough into components
Hand-painting of miniature figurines,Apply base coats and washes to add depth
Clinical Trials Management,Seeking study funding
Homemade Cosmetics, Source ingredients 
Trail Building,Design & construct sustainable trails for hiking or biking
Beekeeping (Advanced),Raise queens
Seed Saving,Allowing seeds to mature and dry on plants
Handmade Paper Making,Transfer wet sheet to felts
Manufacturing Assembly,Operating machinery
Farm Harvesting,Operating machinery
Making Artisan Body Scrubs with Coffee Grounds,Add sugar and essential oils
Perfume Bottle Design,Maintaining design equipment
Glass Etching,Storing etching supplies
Metal Etching,Storing etching supplies
Building Wooden Fruit Crates,Design crate
Building a Vintage-Looking Wooden Crate,Design crate
Financial Planning,Rebalancing portfolios
Doll Making,Cutting out doll pattern pieces
Knitting,Block
Crocheting,Block
Deep Cleaning a House,Vacuum & mop floors
Financial Planning,Improving credit scores
Taxidermy (Advanced),Create lifelike poses
Pottery (Various Techniques), Fire
Stargazing,Find a dark location
Embroidery Digitizing,Transferring digitized design to embroidery machine
Painting,Prime surface
Hand rolling sushi,Slice into pieces
Truffle Hunting,Train dogs or pigs to locate truffles
Quilting,Adding labels
Building Rustic Log Candle Holders,Hollow out center for candles
Painting,Applying paint with roller
Supply Chain Management,Arranging transportation services
Retail Merchandising,Reviewing sales reports
Sculpture (Clay),Fire in kiln
Crafting Hand-Painted Tiles,Fire in kiln
Crafting Traditional Clay Roof Tiles,Fire in kiln
Hand Painting Porcelain,Fire in kiln
Crafting Hand-Painted Ceramics Planters,Fire in kiln
Making Hand-Painted Ceramic Knobs for Cabinets,Fire in kiln
Hand-crafted pottery,Fire in kiln
Hand painting ceramics,Fire in kiln
Manual creation of pottery,Fire in kiln
Manual sculpting of clay figures,Fire in kiln
Hand-spinning pottery,Fire in kiln
Hand-rolling of pasta dough,Allow to dry before cooking
Spring Cleaning,Power wash exterior
Fermentation,Adding brine or starter culture
Knife Sharpening,Selecting sharpening stones
Crafting Custom Leather Guitar Picks,Punch hole for keychain (optional)
Hand-building sandcastles,Scoop and pack wet sand into desired shape
Shoe Repair,Polishing shoes
Mandala Drawing,Continuing design until completion
Building Cobblestone Paths,Excavate and level base
Building Dry-Laid Stonewall Planters,Excavate and level base
Dyeing Fabric,Prepare dye bath
Making Natural Dyes,Prepare dye bath
Making Hand-Dyed Shibori Fabric,Prepare dye bath
Crafting Hand-Dyed Shibori Curtains,Prepare dye bath
Natural Dyeing,Prepare dye bath
Hand-dyed Yarn,Prepare dye bath
Perfume Making,Hosting perfume workshops
Hand-carving of wooden spoons,Finish with food-safe oil or beeswax
Traditional Blacksmithing,Quench finished piece in water or oil
Eco-printing on Fabric,Unroll and rinse fabric
